species,symptoms,disease,temperature,outcome,severity
Dog,"Vomiting, Diarrhea",Gastroenteritis,39.8,Recovered,mild
Cow,"Lethargy, Loss of appetite",Anaplasmosis,40.7,Ongoing,moderate
Cat,None,Routine Check-up,38.6,Recovered,no outbreak
Horse,Coughing,Equine Influenza,40.1,Ongoing,moderate
Dog,"Seizure, Foaming at mouth",Rabies,42.8,Died,severe
Pig,"Fever, Skin lesions",Swine Erysipelas,41.5,Died,severe
Sheep,"Limping, Fever",Foot Rot,40.3,Ongoing,moderate
Dog,"Itching, Scratching",Flea Allergy,39.1,Recovered,mild
Cat,"Sneezing, Watery eyes",Feline Herpesvirus,39.6,Recovered,mild
Cow,"Stumbling, Aggression",BSE (Mad Cow Disease),41.9,Euthanized,severe
Dog,Lethargy,Heartworm Disease,39.4,Ongoing,moderate
Horse,"Coughing, Nasal discharge",Strangles,40.8,Ongoing,severe
Goat,Diarrhea,Coccidiosis,39.9,Recovered,mild
Dog,"Difficulty breathing, Coughing",Kennel Cough,40.2,Recovered,moderate
Cat,"Increased thirst, Weight loss",Diabetes,38.9,Ongoing,moderate
Sheep,None,Vaccination Visit,38.8,Recovered,no outbreak
Dog,"Vomiting, Lethargy, Jaundice",Leptospirosis,41.2,Died,severe
Pig,"Fever, Lethargy",Porcine Reproductive and Respiratory Syndrome,41.6,Died,severe
Cow,"Lameness, Blisters on mouth",Foot-and-Mouth Disease,41.1,Euthanized,severe
Cat,Vomiting,Hairball,38.7,Recovered,mild
Dog,"Diarrhea, Vomiting, Lethargy",Parvovirus,41.4,Died,severe
Horse,"Laminitis, Fever",Potomac Horse Fever,40.9,Ongoing,severe
Dog,"Joint pain, Lethargy",Lyme Disease,40,Recovered,moderate
Cat,None,Annual Wellness Exam,38.5,Recovered,no outbreak
Cow,"Reduced milk production, Fever",Mastitis,40.6,Ongoing,moderate
Pig,"Vomiting, Diarrhea",Transmissible Gastroenteritis,40.5,Died,moderate
Goat,Coughing,Pneumonia,40.4,Recovered,moderate
Dog,"Hair loss, Skin sores",Mange,39.2,Recovered,mild
Cat,"Lethargy, Pale gums",Feline Leukemia Virus,39.7,Ongoing,moderate
Sheep,"Weight loss, Anemia",Haemonchosis,39.5,Ongoing,moderate
Dog,"Difficulty urinating, Blood in urine",Urinary Tract Infection,39.3,Recovered,mild
Horse,None,Dental Check-up,38.4,Recovered,no outbreak
Cow,"Fever, Nasal discharge",Bovine Respiratory Disease,41,Ongoing,severe
Dog,"Vomiting, Abdominal pain",Pancreatitis,40.5,Ongoing,moderate
Cat,"Lethargy, Loss of appetite",Feline Immunodeficiency Virus,39.5,Ongoing,moderate
Pig,"Sudden death, High fever",African Swine Fever,42.5,Died,severe
Dog,"Coughing, Reluctance to exercise",Canine Influenza,40.3,Recovered,moderate
Cat,"Hiding, Urinating outside litter box",Feline Lower Urinary Tract Disease,38.9,Recovered,mild
Horse,"Muscle stiffness, Spasms",Tetanus,41.3,Died,severe
Dog,None,Routine Vaccination,38.6,Recovered,no outbreak
Cow,"Abortion, Fever",Brucellosis,40.8,Euthanized,severe
Dog,"Seizures, Circling",Canine Distemper,41.7,Died,severe
Cat,"Yellow gums, Lethargy",Hepatic Lipidosis,39.8,Ongoing,moderate
Sheep,Coughing,Ovine Progressive Pneumonia,40.1,Ongoing,moderate
Pig,None,Health Certificate,38.7,Recovered,no outbreak
Dog,"Lethargy, Swollen lymph nodes",Ehrlichiosis,40.4,Recovered,moderate
Cat,"Vomiting, Diarrhea",Food Poisoning,39.9,Recovered,mild
Horse,"Nasal discharge, Swollen lymph nodes",Glanders,41.2,Euthanized,severe
Dog,"Weight gain, Hair loss",Hypothyroidism,38.8,Ongoing,moderate
Cow,"Drooling, Inability to swallow",Rabies,42.2,Euthanized,severe
Cat,None,Nail Trim,38.5,Recovered,no outbreak
Dog,"Excessive thirst, Frequent urination",Cushing's Disease,39,Ongoing,moderate
Pig,"Tremors, Incoordination",Pseudorabies,41.8,Died,severe
Goat,"Skin lesions, Hair loss",Ringworm,39.2,Recovered,mild
Horse,"Fever, Anemia, Jaundice",Equine Infectious Anemia,41,Euthanized,severe
Dog,"Reverse sneezing, Nasal discharge",Nasal Mites,38.9,Recovered,mild
Cat,None,Microchip Placement,38.7,Recovered,no outbreak
Cow,"Sudden death, High fever, Swelling",Anthrax,42.6,Died,severe
Dog,"Honking cough, Gagging",Tracheobronchitis,39.6,Recovered,mild
Sheep,"Nasal discharge, Coughing",Pneumonia,40.5,Ongoing,moderate
Cat,"Rapid breathing, Lethargy",Heartworm Disease,40,Ongoing,severe
Pig,"Lameness, Fever",Porcine Arthritis,40.2,Ongoing,moderate
Dog,None,Behavioral Consultation,38.8,Recovered,no outbreak
Horse,"Diarrhea, Colic",Salmonellosis,40.7,Ongoing,moderate
Cow,"Weight loss, Chronic diarrhea",Johne's Disease,39.7,Euthanized,severe
Dog,"Red eyes, Discharge",Conjunctivitis,39,Recovered,mild
Cat,"Bald patches, Itching",Mange,39.3,Recovered,mild
Goat,None,Deworming,38.9,Recovered,no outbreak
Dog,"Head shaking, Ear scratching",Ear Infection,39.1,Recovered,mild
Sheep,"Oral blisters, Lameness",Contagious Ecthyma,39.8,Recovered,moderate
Horse,"Weight loss, Diarrhea",Equine Gastric Ulcer Syndrome,39.5,Ongoing,moderate
Cat,Vomiting,Ingested Foreign Body,39.4,Ongoing,moderate
Cow,None,Breeding Soundness Exam,38.7,Recovered,no outbreak
Dog,"Limping, Swollen joints",Arthritis,38.9,Ongoing,mild
Pig,"Fever, Vomiting, Purple skin",Classical Swine Fever,42.1,Died,severe
Cat,Diarrhea,Giardia,39.2,Recovered,mild
Dog,"Licking paws, Redness",Yeast Infection,38.8,Recovered,mild
Horse,None,Hoof Trimming,38.5,Recovered,no outbreak
Cow,"Circling, Facial paralysis",Listeriosis,41.1,Died,severe
Dog,"Bad breath, Yellow teeth",Dental Disease,38.7,Ongoing,mild
Cat,"Straining to defecate, Hard stools",Constipation,38.6,Recovered,mild
Goat,"Swollen joints, Lameness",Caprine Arthritis Encephalitis,40.3,Ongoing,moderate
Pig,None,Tusk Trim,38.8,Recovered,no outbreak
Dog,"Runny nose, Sneezing",Canine Adenovirus,39.7,Recovered,mild
Horse,"Skin lumps, Ulcerations",Pigeon Fever,40,Ongoing,moderate
Cat,None,Flea Treatment,38.9,Recovered,no outbreak
Dog,"Blue tint to cornea, Eye pain",Infectious Canine Hepatitis,40.6,Died,severe
Cow,"Persistent coughing, Weight loss",Bovine Tuberculosis,40.4,Euthanized,severe
Sheep,"Scraping wool, Tremors",Scrapie,41.4,Euthanized,severe
Cat,"Straining in litter box, Crying",Urinary Blockage,40.2,Ongoing,severe
Dog,"Coughing up foam, Fainting",Congestive Heart Failure,39.9,Ongoing,severe
Horse,Colic,Intestinal Torsion,41.5,Euthanized,severe
Goat,None,Annual Vaccination,38.8,Recovered,no outbreak
Pig,"Blisters on snout, Lameness",Vesicular Stomatitis,40.1,Recovered,moderate
Dog,"Cloudy eyes, Vision loss",Cataracts,38.6,Ongoing,mild
Cat,"Overgrooming, Hair loss",Psychogenic Alopecia,38.7,Ongoing,mild
Cow,None,Pregnancy Check,38.5,Recovered,no outbreak
Dog,"Skin rash, Itching",Atopic Dermatitis,39,Ongoing,mild
Sheep,"Weakness, Pale membranes",Anemia,39.4,Ongoing,moderate
Horse,"Fever, Lethargy, Neurologic signs",Eastern Equine Encephalitis,42.3,Died,severe
Cat,Lethargy,Kidney Disease,39.1,Ongoing,moderate
Pig,Coughing,Mycoplasmal Pneumonia,40,Ongoing,moderate
Dog,None,Spay/Neuter Check-up,38.8,Recovered,no outbreak
Goat,"Weight loss, Bottle jaw",Gastrointestinal Parasites,39.6,Ongoing,moderate
Cow,"Weakness, Paralysis",Botulism,41.8,Died,severe
Dog,"Reverse sneezing, Gagging",Tracheal Collapse,38.9,Ongoing,mild
Cat,"Increased appetite, Weight loss",Hyperthyroidism,39.2,Ongoing,moderate
Horse,None,Coggins Test,38.6,Recovered,no outbreak
Sheep,"Sudden death, Convulsions",Enterotoxemia,42,Died,severe
Dog,"Muscle wasting, Exercise intolerance",Degenerative Myelopathy,38.7,Ongoing,moderate
Cat,None,Deworming,38.8,Recovered,no outbreak
Pig,"Nasal distortion, Sneezing",Atrophic Rhinitis,39.8,Ongoing,moderate
Cow,Lameness,Digital Dermatitis,39.5,Ongoing,mild
Dog,"Itchy ears, Head shaking",Ear Mites,39,Recovered,mild
Horse,"Depression, Fever, Colic",Anterior Enteritis,40.9,Ongoing,severe
Goat,None,Health Check for Sale,38.9,Recovered,no outbreak
Cat,"Vomiting, Dehydration",Pancreatitis,40.1,Ongoing,moderate
Dog,"Difficulty swallowing, Regurgitation",Megaesophagus,39.3,Ongoing,severe
Sheep,"Swollen jaw, Abscess",Caseous Lymphadenitis,39.9,Ongoing,moderate
Cow,Diarrhea,Cryptosporidiosis,39.7,Recovered,mild
Horse,Coughing,Heaves (RAO),39.4,Ongoing,moderate
Dog,None,Nutritional Counseling,38.8,Recovered,no outbreak
Cat,"Anorexia, Lethargy",Feline Panleukopenia,41.6,Died,severe
Pig,"Diarrhea in piglets, Vomiting",Rotavirus Infection,39.6,Ongoing,moderate
Goat,"Crusty sores on mouth, Teats",Orf Virus,39.5,Recovered,mild
Dog,"Nosebleed, Lethargy",Rocky Mountain Spotted Fever,41,Ongoing,severe
Cow,None,Hoof Care,38.6,Recovered,no outbreak
Horse,"Skin lesions, Hair loss",Dermatophytosis (Ringworm),39.2,Recovered,mild
Cat,Sneezing,Feline Calicivirus,39.8,Recovered,moderate
Dog,"Circling, Head tilt",Vestibular Disease,39.1,Recovered,moderate
Sheep,None,Shearing,38.7,Recovered,no outbreak
Goat,Mastitis,Staphylococcal Infection,40.4,Ongoing,moderate
Dog,"Red, watery eyes, Pawing at eye",Corneal Ulcer,38.9,Recovered,mild
Cat,Gingivitis,Dental Resorption,38.8,Ongoing,moderate
Horse,Lameness,Navicular Syndrome,39,Ongoing,moderate
Cow,"Hair loss around eyes, Thick skin",Mange,39.3,Recovered,mild
Dog,"Small skin bumps, Pus",Pyoderma,39.2,Recovered,mild
Cat,None,Senior Wellness Check,38.7,Recovered,no outbreak
Pig,Constipation,Dietary Indiscretion,39.4,Recovered,mild
Sheep,"Bluish tongue, Swelling of face",Bluetongue,41.3,Died,severe
Goat,None,Disbudding,39,Recovered,no outbreak
Horse,"Swelling in lower legs, Oozing sores",Scratches (Pastern Dermatitis),39.1,Recovered,mild
Dog,"Scooting, Licking anal area",Anal Gland Issues,38.8,Recovered,mild
Cat,"Dilated pupils, High blood pressure",Hypertension,38.9,Ongoing,moderate
Cow,Diarrhea,E. coli Infection,40,Recovered,moderate
Pig,Sneezing,Inclusion Body Rhinitis,39.7,Recovered,mild
Dog,None,Puppy Vaccination Series,38.9,Recovered,no outbreak
Horse,"White spots in eyes, Tearing",Equine Recurrent Uveitis,39.6,Ongoing,moderate
Goat,"Runny nose, Coughing",Viral Infection,39.9,Recovered,mild
Sheep,None,Parasite Control,38.8,Recovered,no outbreak
Cat,"Litter box avoidance, Straining",Interstitial Cystitis,38.7,Ongoing,mild
Dog,"Collapse, Pale gums, Swollen abdomen",Splenic Hemangiosarcoma,39.5,Euthanized,severe
Cow,None,Artificial Insemination,38.6,Recovered,no outbreak
Horse,Lameness,Abscess in Hoof,39.8,Recovered,moderate
Pig,Diarrhea,Swine Dysentery,40.6,Died,moderate
Dog,"Dry eye, Squinting",Keratoconjunctivitis Sicca,39,Ongoing,moderate
Cat,Vomiting,Chronic Kidney Disease,39.2,Ongoing,severe
Goat,None,Castration,39.1,Recovered,no outbreak
Sheep,"Stiff limbs, Tremors",Grass Tetany,41.2,Died,severe
Dog,"Hot spots, Chewing skin",Acute Moist Dermatitis,39.3,Recovered,mild
Horse,Colic,Sand Impaction,40.3,Ongoing,moderate
Cow,None,Dehorning,39,Recovered,no outbreak
Cat,"Bad breath, Drooling",Stomatitis,39.4,Ongoing,moderate
Dog,"Sudden blindness, Dilated pupils",SARDS,38.9,Ongoing,moderate
Pig,None,Iron Shot for Piglets,38.8,Recovered,no outbreak
Horse,"Hives, Swelling",Allergic Reaction,39.5,Recovered,mild
Dog,"Seizures, Disorientation",Epilepsy,39.1,Ongoing,moderate
Cow,"Straining, Bloody urine",Urinary Calculi,40.8,Ongoing,severe
Cat,"Aggression, Fear",Anxiety,38.8,Ongoing,mild
Horse,"Fever, Lethargy",West Nile Virus,41.9,Died,severe
Dog,"Dry, hacking cough",Kennel Cough,40,Recovered,moderate
Pig,None,Weaning Check,38.9,Recovered,no outbreak
Sheep,None,Hoof Trimming,38.7,Recovered,no outbreak
Dog,"Lethargy, Pale gums",Anemia,39.3,Ongoing,moderate
Cat,"Hiding, Decreased appetite",Pain (Undiagnosed),39.2,Ongoing,moderate
Cow,"Bloated left side, Distress",Bloat,41.5,Euthanized,severe
Dog,"Warts, Bumps on skin",Papillomas,38.9,Recovered,mild
Horse,"Skin peeling, Redness",Photosensitization,39.6,Recovered,mild
Goat,"Weakness, Paralysis",Polioencephalomalacia,41.4,Died,severe
Dog,Diarrhea,Whipworms,39,Recovered,mild
Cat,None,Kitten Wellness Check,38.8,Recovered,no outbreak
